|KGPL        |88.1  MHz |FM |201 |ND  |                    |A  |-  |LIC    |CROOKSTON                |MN |US |0000232250          |.25    kW |.25    kW |26.0    |26.0    |766429     |N |47 |46 |57.1  |W |096 |35 |26.1  |WE HAVE THIS HOPE CHRISTIAN RADIO, INC.                                     |   0.00 km |   0.00 mi |  0.00 deg |294.   m|294.0  m|-         |-       |-       |       m|232250    |25076f918c46c8df018c545b1a470c03   |25076f918c46c8df018c545b1abe0c11   |
|KAWD        |88.1  MHz |FM |201 |ND  |                    |A  |-  |NCECP  |DETROIT LAKES            |MN |US |0000167482          |.25    kW |.25    kW |-4.0    |-4.0    |766459     |N |46 |49 |42.8  |W |095 |49 |45.1  |CHRISTIAN MEDIA, INC.                                                       |   0.00 km |   0.00 mi |  0.00 deg |425.   m|425.0  m|-         |-       |-       |       m|167482    |25076f917ca4f8cf017cc3900aba2f2c   |25076f917ce2e04b017d0500cde24d3b   |
|KAWD        |88.1  MHz |FM |201 |ND  |                    |A  |-  |APP    |DETROIT LAKES            |MN |US |0000262073          |.25    kW |.25    kW |-4.0    |-4.0    |766459     |N |46 |49 |42.8  |W |095 |49 |45.1  |CHRISTIAN MEDIA, INC.                                                       |   0.00 km |   0.00 mi |  0.00 deg |425.   m|425.0  m|-         |-       |-       |       m|262073    |25076f9193dc19de0194329360d92883   |25076f9193dc19de019432936386288e   |
|KAWD-LP     |88.1  MHz |FL |201 |ND  |                    |LP1|-  |LIC    |DETROIT LAKES            |MN |US |BLL-20150713AAF     |0.1    kW |0.1    kW |-3.9    |0.0     |195150     |N |46 |49 |42.8  |W |95  |49 |45.1  |CHRISTIAN MEDIA, INC,                                                       |   0.00 km |   0.00 mi |  0.00 deg |425.   m|0.0    m|-         |-       |-       |       m|201507130 |6759fe76219842afbd01c1b6063ebeb7   |b11ce511c8404b32985dc1b6063ebeb7   |
|KDGR        |88.1  MHz |FM |201 |ND  |                    |A  |-  |MOD    |GRAND RAPIDS             |MN |US |0000262433          |5.     kW |5.     kW |55.0    |55.0    |763944     |N |47 |13 |5.5   |W |93  |32 |50.8  |UNIVERSITY OF NORTHWESTERN - ST. PAUL                                       |   0.00 km |   0.00 mi |  0.00 deg |458.   m|458.0  m|-         |-       |1224837 |       m|262433    |25076ff39446e86f01944729a74c00eb   |25076ff39446e86f01944729a9990108   |
|KDGR        |88.1  MHz |FM |201 |ND  |                    |A  |-  |APP    |GRAND RAPIDS             |MN |US |0000267726          |5.     kW |5.     kW |55.0    |55.0    |763944     |N |47 |13 |5.5   |W |93  |32 |50.8  |UNIVERSITY OF NORTHWESTERN - ST. PAUL                                       |   0.00 km |   0.00 mi |  0.00 deg |458.   m|458.0  m|-         |-       |1224837 |       m|267726    |25076ff3953ebc2001953f2fb4420281   |25076ff3953ebc2001953f2fb6a3029e   |
|K201IX      |88.1  MHz |FX |201 |ND  |                    |D  |-  |LIC    |GRAND RAPIDS             |MN |US |BLFT-20161031ADP    |0.25   kW |0.25   kW |0.0     |0.0     |140253     |N |47 |13 |5.8   |W |93  |32 |50.8  |UNIVERSITY OF NORTHWESTERN-ST. PAUL                                         |   0.00 km |   0.00 mi |  0.00 deg |458.   m|458.0  m|-         |-       |1224837 |       m|201610316 |c3e20db1f908492a94d4c1b6063ebeb7   |33729ab6ba7f49428544c1b6063ebeb7   |
|K201BW      |88.1  MHz |FX |201 |ND  |                    |D  |-  |LIC    |LA CRESCENT              |MN |US |BLFT-20110426AAR    |0.062  kW |0.062  kW |128.0   |0.0     |42952      |N |43 |45 |27.3  |W |91  |17 |24.2  |MINNESOTA PUBLIC RADIO                                                      |   0.00 km |   0.00 mi |  0.00 deg |386.   m|386.0  m|-         |-       |-       |       m|201104261 |5ed7b492d0c24830890ec1b6063ebeb7   |6344d7fc1e114653a87dc1b6063ebeb7   |
|KJCA        |88.1  MHz |FM |201 |ND  |                    |A  |-  |LIC    |MARSHALL                 |MN |US |0000259282          |0.26   kW |0.26   kW |51.0    |51.0    |762423     |N |44 |28 |11.6  |W |95  |46 |25.1  |MINN-IOWA CHRISTIAN BROADCASTING                                            |   0.00 km |   0.00 mi |  0.00 deg |405.   m|405.0  m|-         |-       |1235852 |       m|259282    |25076f9193b8055d0193c012c2c105ee   |25076f9193b8055d0193c012c54705fd   |
|-           |88.1  MHz |FM |201 |DA  |                    |A  |-  |AMD    |NEW MARKET ELKO          |MN |US |0000166956          |0.1    kW |0.1    kW |41.0    |41.0    |768186     |N |44 |34 |09    |W |93  |24 |34    |PODEROSA BROADCASTING, INC.                                                 |   0.00 km |   0.00 mi |  0.00 deg |350.   m|350.0  m|-         |0.      |-       |       m|166956    |25076f917f6bce4b017f8f19b9b20713   |25076f917f6bce4b017f8f19ba06071c   |
|WAJC        |88.1  MHz |FM |201 |DA  |                    |A  |-  |LIC    |NEWPORT                  |MN |US |BLED-20130307ACH    |5.52   kW |5.52   kW |22.0    |22.0    |174134     |N |44 |43 |14.8  |W |93  |1  |55.7  |MARANATHA ASSEMBLY OF GOD CHURCH                                            |   0.00 km |   0.00 mi |  0.00 deg |295.   m|295.0  m|-         |0.      |-       |       m|201303073 |bd98f26c105e486da158c1b6063ebeb7   |3bbdbdeb42274787abf7c1b6063ebeb7   |
